village,ticket_1,vote_1,ticket_2,vote_2
屏東縣潮州鎮,16221,51.40%,15332,48.59%
屏東縣屏東市,54523,44.11%,69064,55.88%
屏東縣麟洛鄉,4226,57.89%,3074,42.10%
屏東縣萬丹鄉,17318,55.25%,14023,44.74%
屏東縣新園鄉,13905,61.98%,8528,38.01%
屏東縣崁頂鄉,5041,58.51%,3574,41.48%
屏東縣南州鄉,3942,55.62%,3145,44.37%
屏東縣新埤鄉,3164,50.20%,3138,49.79%
屏東縣來義鄉,175,4.08%,4104,95.91%
屏東縣東港鎮,15202,56.39%,11756,43.60%
屏東縣林邊鄉,7139,57.45%,5287,42.54%
屏東縣佳冬鄉,7390,58.49%,5244,41.50%
屏東縣枋寮鄉,7975,52.07%,7339,47.92%
屏東縣春日鄉,136,5.37%,2392,94.62%
屏東縣枋山鄉,1714,52.85%,1529,47.14%
屏東縣獅子鄉,240,9.30%,2340,90.69%
屏東縣牡丹鄉,242,9.76%,2236,90.23%
屏東縣車城鄉,2864,56.32%,2221,43.67%
屏東縣滿州鄉,2016,48.74%,2120,51.25%
屏東縣恆春鎮,7008,46.73%,7986,53.26%
屏東縣琉球鄉,1634,30.82%,3667,69.17%
臺東縣台東市,16276,29.77%,38381,70.22%
臺東縣成功鎮,1302,18.21%,5847,81.78%
臺東縣關山鎮,1252,26.73%,3431,73.26%
臺東縣卑南鄉,3065,32.68%,6312,67.31%
臺東縣鹿野鄉,1502,34.37%,2867,65.62%
臺東縣池上鄉,1362,31.08%,3020,68.91%
臺東縣東河鄉,949,22.36%,3295,77.63%
臺東縣長濱鄉,779,20.55%,3010,79.44%
臺東縣太麻里鄉,1753,28.69%,4356,71.30%
臺東縣大武鄉,620,20.44%,2413,79.55%
臺東縣綠島鄉,132,9.61%,1241,90.38%
臺東縣海端鄉,109,5.64%,1823,94.35%
臺東縣延平鄉,176,10.55%,1491,89.44%
臺東縣金峰鄉,81,4.89%,1575,95.10%
臺東縣達仁鄉,129,7.36%,1622,92.63%
臺東縣蘭嶼鄉,227,18.74%,984,81.25%
花蓮縣花蓮市,14141,24.26%,44134,75.73%
花蓮縣新城鄉,2250,20.81%,8562,79.18%
花蓮縣秀林鄉,744,10.52%,6325,89.47%
花蓮縣吉安鄉,10569,24.19%,33112,75.80%
花蓮縣壽豐鄉,2749,26.64%,7570,73.35%
花蓮縣鳳林鎮,1576,23.07%,5254,76.92%
花蓮縣光復鄉,1408,19.02%,5993,80.97%
花蓮縣豐濱鄉,303,12.52%,2116,87.47%
花蓮縣萬榮鄉,231,7.72%,2761,92.27%
花蓮縣瑞穗鄉,1549,24.08%,4882,75.91%
花蓮縣玉里鎮,3024,23.38%,9910,76.61%
花蓮縣富里鄉,1287,22.93%,4324,77.06%
花蓮縣卓溪鄉,172,6.07%,2661,93.92%
澎湖縣馬公市,10640,39.52%,16278,60.47%
澎湖縣湖西鄉,3227,51.49%,3040,48.50%
澎湖縣白沙鄉,1762,43.86%,2255,56.13%
澎湖縣西嶼鄉,1573,43.45%,2047,56.54%
澎湖縣望安鄉,693,53.38%,605,46.61%
澎湖縣七美鄉,286,26.04%,812,73.95%
基隆市中正區,10465,31.59%,22654,68.40%
基隆市信義區,8541,27.99%,21966,72.00%
基隆市仁愛區,10663,36.55%,18508,63.44%
基隆市中山區,10147,33.63%,20022,66.36%
基隆市安樂區,15511,31.83%,33206,68.16%
基隆市暖暖區,6270,29.17%,15219,70.82%
基隆市七堵區,10965,34.57%,20752,65.42%
新竹市東區,32650,30.91%,72946,69.08%
新竹市北區,30311,37.72%,50027,62.27%
新竹市香山區,16673,42.07%,22957,57.92%
臺中市西屯區,39215,36.16%,69233,63.83%
臺中市南屯區,29867,37.61%,49542,62.38%
臺中市北屯區,50271,37.17%,84956,62.82%
臺中市北區,31162,36.86%,53358,63.13%
臺中市西區,26270,39.79%,39746,60.20%
臺中市中區,5229,43.85%,6694,56.14%
臺中市東區,19415,44.27%,24431,55.72%
臺中市南區,25322,39.97%,38019,60.02%
嘉義市東區,32449,45.26%,39243,54.73%
嘉義市西區,39993,49.70%,40470,50.29%
臺南市安南區,53548,55.80%,42416,44.19%
臺南市北區,36075,46.97%,40716,53.02%
臺南市中西區,24806,50.91%,23916,49.08%
臺南市安平區,15224,46.79%,17311,53.20%
臺南市南區,40734,52.85%,36330,47.14%
臺南市東區,46428,42.68%,62345,57.31%
金門縣金城鎮,629,5.25%,11342,94.74%
金門縣金寧鄉,339,5.29%,6065,94.70%
金門縣金湖鎮,444,5.64%,7422,94.35%
金門縣金沙鎮,205,3.57%,5533,96.42%
金門縣烈嶼鄉,87,2.91%,2897,97.08%
金門縣烏坵鄉,6,4.58%,125,95.41%
連江縣南竿鄉,137,4.91%,2648,95.08%
連江縣北竿鄉,37,4.68%,752,95.31%
連江縣莒光鄉,24,5.03%,453,94.96%
連江縣東引鄉,22,4.41%,476,95.58%
