town,ticket_1,ticket_2,distance,rank
新竹縣竹東鎮,13356,38332,28.7712,306
臺南市大內區,4304,2042,28.8178,307
臺東縣長濱鄉,835,2393,28.9915,308
花蓮縣新城鄉,2557,7453,28.995,309
屏東縣新園鄉,14941,7085,29.1121,310
臺南市鹽水區,10248,4810,29.1811,311
高雄市田寮區,3553,1665,29.2231,312
嘉義縣六腳鄉,10265,4770,29.3808,313
苗栗縣南庄鄉,1510,4465,29.4201,314
臺南市後壁區,10280,4787,29.4854,315
屏東縣九如鄉,9037,4141,29.9909,316
臺東縣蘭嶼鄉,293,911,30.0843,317
嘉義縣阿里山鄉,747,2231,30.095,318
臺南市西港區,10106,4496,30.8506,319
嘉義縣新港鄉,13071,5823,30.8975,320
桃園縣復興鄉,1190,3739,30.9351,321
臺南市學甲區,10931,4743,31.6013,322
雲林縣二崙鄉,11099,4744,31.9765,323
屏東縣高樹鄉,10627,4543,32.08,324
嘉義縣溪口鄉,6489,2767,32.336,325
臺東縣成功鎮,1555,5106,32.3443,326
花蓮縣光復鄉,1540,5075,32.4019,327
臺南市七股區,9892,4077,32.9766,328
臺南市官田區,9166,3760,33.0814,329
臺南市將軍區,8779,3472,34.2355,330
高雄市那瑪夏區,311,1073,34.3238,331
雲林縣水林鄉,10801,3993,35.9146,332
臺南市麻豆區,20126,7159,37.2332,333
新竹縣五峰鄉,417,1825,37.9358,334
新竹縣尖石鄉,703,3190,38.8171,335
高雄市桃源區,341,1552,39.4788,336
宜蘭縣大同鄉,514,2443,40.0176,337
臺東縣綠島鄉,223,1099,40.7286,338
苗栗縣泰安鄉,504,2664,42.2291,339
屏東縣霧臺鄉,286,1457,42.33,340
花蓮縣豐濱鄉,325,1718,42.4647,341
花蓮縣秀林鄉,963,5484,42.9385,342
屏東縣牡丹鄉,329,1934,44.1488,343
南投縣仁愛鄉,1005,6198,44.7299,344
高雄市茂林區,134,776,44.8806,345
屏東縣瑪家鄉,506,3155,45.4392,346
臺東縣延平鄉,209,1303,45.8919,347
屏東縣三地門鄉,547,3477,46.1662,348
花蓮縣萬榮鄉,317,2297,47.3625,349
