town,vote_1,vote_2,vote_3,distance,rank
嘉義縣中埔鄉,22.4614%,65.9165%,11.6221%,13.0785,200
基隆市暖暖區,36.9052%,45.4277%,17.6672%,13.1159,201
宜蘭縣三星鄉,22.6532%,66.2217%,11.1251%,13.241,202
屏東縣枋寮鄉,24.9576%,66.9413%,8.101%,13.2874,203
新北市貢寮區,25.7002%,67.0739%,7.2259%,13.4171,204
臺南市新化區,22.4128%,66.4045%,11.1827%,13.5258,205
高雄市小港區,22.9821%,66.7768%,10.241%,13.6107,206
雲林縣古坑鄉,22.7486%,66.7128%,10.5387%,13.6474,207
臺南市仁德區,22.9147%,66.8705%,10.2149%,13.729,208
雲林縣北港鎮,22.1437%,66.5574%,11.2989%,13.8007,209
臺南市龍崎區,22.561%,66.7886%,10.6504%,13.8024,210
桃園市龍潭區,39.3608%,45.3141%,15.3251%,13.8629,211
臺南市南區,22.634%,67.04%,10.326%,14.0081,212
雲林縣口湖鄉,21.3347%,66.2233%,12.442%,14.0153,213
高雄市大寮區,22.5501%,67.076%,10.3739%,14.0781,214
嘉義縣鹿草鄉,23.4759%,67.4217%,9.1025%,14.1036,215
臺南市左鎮區,23.5337%,67.4487%,9.0176%,14.1172,216
宜蘭縣壯圍鄉,22.4238%,67.0908%,10.4854%,14.1471,217
嘉義縣竹崎鄉,21.2967%,66.6649%,12.0384%,14.3795,218
澎湖縣望安鄉,22.3058%,53.5505%,24.1437%,14.5142,219
屏東縣內埔鄉,23.7204%,68.02%,8.2596%,14.7026,220
雲林縣元長鄉,22.3597%,67.671%,9.9693%,14.7314,221
雲林縣大埤鄉,21.9227%,67.5552%,10.5221%,14.8075,222
新竹縣關西鎮,36.8099%,43.9815%,19.2087%,14.8726,223
臺東縣池上鄉,41.1318%,45.1295%,13.7387%,14.948,224
屏東縣萬丹鄉,23.6507%,68.3359%,8.0134%,15.0707,225
基隆市信義區,39.3632%,44.0867%,16.5501%,15.0944,226
宜蘭縣員山鄉,21.3327%,67.5535%,11.1138%,15.0976,227
屏東縣南州鄉,23.3073%,68.3766%,8.3161%,15.1817,228
臺北市大安區,42.9264%,46.9527%,10.1208%,15.2552,229
雲林縣崙背鄉,22.3422%,68.2205%,9.4374%,15.2857,230
宜蘭縣五結鄉,20.9143%,67.8391%,11.2466%,15.5694,231
新竹縣新豐鄉,33.2315%,44.1444%,22.6241%,15.6188,232
屏東縣麟洛鄉,22.4579%,68.9436%,8.5985%,16.0027,233
高雄市湖內區,20.7883%,68.4246%,10.7871%,16.1467,234
屏東縣車城鄉,23.3255%,69.274%,7.4005%,16.1904,235
臺東縣卑南鄉,40.6115%,43.2836%,16.105%,16.3416,236
臺南市東山區,20.1072%,68.4125%,11.4803%,16.507,237
新北市烏來區,38.0639%,42.6408%,19.2954%,16.5135,238
高雄市仁武區,20.2818%,68.8694%,10.8488%,16.8003,239
高雄市大樹區,21.9401%,69.6411%,8.4188%,16.8871,240
高雄市大社區,20.2428%,69.4047%,10.3525%,17.2989,241
屏東縣竹田鄉,23.1471%,70.2367%,6.6162%,17.3296,242
屏東縣東港鎮,20.9681%,69.7739%,9.2579%,17.3408,243
臺東縣臺東市,41.1394%,42.4048%,16.4558%,17.412,244
宜蘭縣冬山鄉,20.0937%,69.4796%,10.4267%,17.4392,245
苗栗縣公館鄉,39.5281%,41.8712%,18.6008%,17.5574,246
屏東縣林邊鄉,23.0486%,70.4742%,6.4773%,17.6179,247
新竹縣寶山鄉,39.0207%,41.4309%,19.5484%,18.0129,248
高雄市茄萣區,18.6989%,69.2193%,12.0818%,18.013,249
苗栗縣造橋鄉,41.0337%,41.6224%,17.3439%,18.1752,250
臺南市山上區,20.6484%,70.6484%,8.7032%,18.335,251
新北市永和區,44.3784%,43.3582%,12.2634%,18.4691,252
臺南市關廟區,20.3051%,70.671%,9.0239%,18.4806,253
臺北市文山區,44.8062%,43.6738%,11.52%,18.6053,254
高雄市阿蓮區,19.6193%,70.6369%,9.7439%,18.7286,255
雲林縣莿桐鄉,19.6637%,70.6829%,9.6533%,18.7524,256
嘉義縣六腳鄉,18.9381%,70.5837%,10.4782%,19.0061,257
雲林縣西螺鎮,19.9991%,71.0857%,8.9152%,19.0073,258
高雄市梓官區,19.5075%,70.9591%,9.5334%,19.0822,259
新竹縣芎林鄉,37.5417%,40.592%,21.8663%,19.1014,260
高雄市田寮區,19.3013%,70.9607%,9.738%,19.1746,261
苗栗縣大湖鄉,41.9164%,40.878%,17.2056%,19.2269,262
臺南市柳營區,19.3222%,71.0768%,9.601%,19.2744,263
苗栗縣三灣鄉,42.3488%,40.8998%,16.7514%,19.3608,264
高雄市林園區,19.1787%,71.1551%,9.6663%,19.4118,265
高雄市橋頭區,19.9403%,71.5062%,8.5535%,19.4503,266
苗栗縣頭份市,40.182%,40.1942%,19.6238%,19.5762,267
屏東縣佳冬鄉,20.9635%,72.0674%,6.9691%,19.7566,268
