town,ticket_1,vote_1,ticket_2,vote_2,ticket_3,vote_3,distance,rank
臺南市後壁區,10280,66.83%,4787,31.12%,315,2.04%,29.4854,315
屏東縣九如鄉,9037,67.23%,4141,30.81%,262,1.94%,29.9909,316
臺東縣蘭嶼鄉,293,21.18%,911,65.87%,179,12.94%,30.0843,317
嘉義縣阿里山,747,24.42%,2231,72.95%,80,2.61%,30.095,318
臺南市西港區,10106,67.81%,4496,30.17%,300,2.01%,30.8506,319
嘉義縣新港鄉,13071,67.97%,5823,30.28%,335,1.74%,30.8975,320
桃園縣復興鄉,1190,23.18%,3739,72.85%,203,3.95%,30.9351,321
臺南市學甲區,10931,68.36%,4743,29.66%,315,1.97%,31.6013,322
雲林縣二崙鄉,11099,68.53%,4744,29.29%,352,2.17%,31.9765,323
屏東縣高樹鄉,10627,68.76%,4543,29.39%,285,1.84%,32.08,324
嘉義縣溪口鄉,6489,69.19%,2767,29.50%,122,1.30%,32.336,325
臺東縣成功鎮,1555,22.64%,5106,74.35%,206,2.99%,32.3443,326
花蓮縣光復鄉,1540,22.56%,5075,74.35%,210,3.07%,32.4019,327
臺南市七股區,9892,69.16%,4077,28.50%,334,2.33%,32.9766,328
臺南市官田區,9166,69.20%,3760,28.39%,318,2.40%,33.0814,329
臺南市將軍區,8779,70.19%,3472,27.76%,255,2.03%,34.2355,330
高雄市那瑪夏,311,22.21%,1073,76.64%,16,1.14%,34.3238,331
雲林縣水林鄉,10801,71.11%,3993,26.29%,394,2.59%,35.9146,332
臺南市麻豆區,20126,72.42%,7159,25.76%,503,1.81%,37.2332,333
新竹縣五峰鄉,417,17.60%,1825,77.03%,127,5.36%,37.9358,334
新竹縣尖石鄉,703,17.17%,3190,77.91%,201,4.90%,38.8171,335
高雄市桃源區,341,17.39%,1552,79.18%,67,3.41%,39.4788,336
宜蘭縣大同鄉,514,16.65%,2443,79.16%,129,4.18%,40.0176,337
臺東縣綠島鄉,223,16.17%,1099,79.69%,57,4.13%,40.7286,338
苗栗縣泰安鄉,504,15.32%,2664,80.99%,121,3.67%,42.2291,339
屏東縣霧臺鄉,286,16.07%,1457,81.89%,36,2.02%,42.33,340
